53.3113,34.4420
53.0199,36.1520
54.8417,32.1356
54.5849,36.3151
54.2315,37.6446
54.6285,36.2859
54.2392,37.6665
53.2939,34.4483
54.8443,32.0890
54.2011,37.6325
52.9683,36.1365
54.8357,32.0540
54.5311,36.3013
52.9842,36.1528
53.2638,34.4176
54.8516,32.0764
54.2075,37.6528
54.5839,36.3255
54.8673,32.0888
54.7863,32.0790
53.2863,34.4691
53.3245,34.4096
54.8396,32.0838
53.2771,34.4427
54.2009,37.6971
54.5600,36.3431
53.0349,36.1585
53.3332,34.3871
54.6292,36.3343
54.2644,37.6475
54.5557,36.3724
53.0591,36.1156
53.2755,34.4445
54.2102,37.6504
54.2471,37.6234
54.8552,32.1103
53.0137,36.1439
53.3125,34.3826
52.9653,36.1409
53.0475,36.1500
54.8744,32.0904
54.8075,32.1192
52.9699,36.1451
54.6174,36.3597
54.8093,32.0539
54.2516,37.6658
54.2165,37.6961
54.8599,32.0768
54.2640,37.7023
53.0305,36.1707
54.5658,36.2933
54.8706,32.0947
52.9842,36.1342
53.0296,36.1626
53.3227,34.3722
54.8004,32.0829
53.2792,34.3740
54.2867,37.6671
54.8715,32.1287
54.2447,37.6776
53.0370,36.0919
54.1979,37.7043
53.0158,36.1225
53.2915,34.4376
53.3287,34.4523
54.5605,36.3480
53.0650,36.0944
54.8291,32.0851
54.8493,32.0810
53.2771,34.4680
54.6071,36.3719
54.8592,32.1206
54.8459,32.0709
54.8488,32.0700
54.2475,37.6336
53.2564,34.4483
52.9908,36.0818
53.0205,36.1374
53.3406,34.3772
54.8769,32.0661
54.6211,36.3520
54.2434,37.6386
54.8359,32.1028
53.2970,34.4340
52.9787,36.1426
54.8243,32.0667
54.8342,32.1042
54.5322,36.3235
54.2426,37.6333
54.5846,36.2967
54.5792,36.3739
54.5814,36.3620
53.0321,36.1485
53.2551,34.4513
54.2854,37.6480
54.2196,37.6715
53.0501,36.1315
52.9689,36.1034
54.5586,36.3523
54.2346,37.7142
